date wealth_hist
01-Jan-2001 10000
01-Feb-2001 8889.75855619708
01-Mar-2001 7481.28542626469
01-Apr-2001 7942.71633982122
01-May-2001 8688.84119897622
01-Jun-2001 8536.76306112407
01-Jul-2001 10211.6621614649
01-Aug-2001 9522.4035717329
01-Sep-2001 9404.12851076784
01-Oct-2001 8074.71785793713
01-Nov-2001 9846.15760335749
01-Dec-2001 10863.5148068284
01-Jan-2002 10952.0477569095
01-Feb-2002 12655.3808919758
01-Mar-2002 12710.2168025498
01-Apr-2002 14495.0357931788
01-May-2002 12902.6666702978
01-Jun-2002 12852.5253782741
01-Jul-2002 12482.0305562241
01-Aug-2002 11769.7754474311
01-Sep-2002 11133.835891047
01-Oct-2002 10974.448067695
01-Nov-2002 11622.7992457079
01-Dec-2002 11918.8077977085
