date wealth_hist
01-Jan-2001 10000
01-Feb-2001 8457.52550967061
01-Mar-2001 6914.59060400316
01-Apr-2001 7010.52086316343
01-May-2001 8290.63218027065
01-Jun-2001 8691.3529999726
01-Jul-2001 12641.1760136594
01-Aug-2001 12781.911544642
01-Sep-2001 12146.3217825946
01-Oct-2001 11947.797054467
01-Nov-2001 16435.2553518708
01-Dec-2001 19300.0502880865
01-Jan-2002 19882.5370306807
01-Feb-2002 22816.3469474731
01-Mar-2002 22649.4611705793
01-Apr-2002 22150.1233366842
01-May-2002 17385.0136857048
01-Jun-2002 19049.1464482802
01-Jul-2002 19971.0758439507
01-Aug-2002 25716.3848396604
01-Sep-2002 24746.2844794437
01-Oct-2002 23701.2465738704
01-Nov-2002 26858.3645091839
01-Dec-2002 24217.7862650069
01-Jan-2003 26027.8093339647
01-Feb-2003 26644.6137421459
01-Mar-2003 25527.433727629
01-Apr-2003 27018.2815493678
01-May-2003 39184.7658343046
01-Jun-2003 58086.7154590855
01-Jul-2003 63120.002968741
01-Aug-2003 71234.0217608641
01-Sep-2003 75345.4819775432
01-Oct-2003 76144.824397191
01-Nov-2003 81867.1004104329
01-Dec-2003 76032.391771759
